accession	accession.version	taxid	gi
GCA900557055	GCA900557055.1	227096	
GCF001441535	GCF001441535.1	187708	
GCF001650635	GCF001650635.1	195028	
GCF005405425	GCF005405425.1	225837	
GCF001545075	GCF001545075.1	238496	
GCF000255555	GCF000255555.1	206879	
GCF000711195	GCF000711195.1	223644	
GCF900142845	GCF900142845.1	194330	
GCA004283035	GCA004283035.1	204344	
GCF003012745	GCF003012745.1	229321	
GCF003217475	GCF003217475.1	207122	
GCF900111255	GCF900111255.1	173376	
GCF000422285	GCF000422285.1	209523	
GCA001058355	GCA001058355.1	181133	
GCA002746985	GCA002746985.1	209442	
GCF002899825	GCF002899825.2	235970	
GCF004341105	GCF004341105.1	236813	
GCA002428055	GCA002428055.1	207362	
GCF003627995	GCF003627995.1	229549	
GCA002869005	GCA002869005.1	194848	
GCF001598555	GCF001598555.1	222814	
GCF001015195	GCF001015195.1	197024	
GCA001830835	GCA001830835.1	176823	
GCA003150215	GCA003150215.1	208126	
GCF001043055	GCF001043055.1	166798	
GCA002313335	GCA002313335.1	217486	
GCA004297635	GCA004297635.1	234008	
GCF001580195	GCF001580195.1	167877	
GCA001784155	GCA001784155.1	149049	
GCA002050095	GCA002050095.1	218924	
GCF001676055	GCF001676055.1	182652	
GCF003614435	GCF003614435.1	155326	
GCF003201955	GCF003201955.1	227848	
GCA005882525	GCA005882525.1	193602	
GCA007125355	GCA007125355.1	170201	
GCF001990805	GCF001990805.2	167932	
GCA004566295	GCA004566295.1	227607	
GCF000336575	GCF000336575.1	147510	
GCA001823215	GCA001823215.1	174113	
GCF000526575	GCF000526575.1	182064	
GCA007133445	GCA007133445.1	239416	
GCF000719345	GCF000719345.1	237438	
GCF004684055	GCF004684055.1	186460	
GCA005883575	GCA005883575.1	192780	
GCF000306255	GCF000306255.2	141439	
GCF000179315	GCF000179315.1	201531	
GCF000312665	GCF000312665.1	180810	
GCF003515705	GCF003515705.1	186896	
GCF000834655	GCF000834655.1	212902	
GCF003206645	GCF003206645.1	233716	
GCF000263635	GCF000263635.1	164968	
GCF001619585	GCF001619585.1	225034	
GCA003501335	GCA003501335.1	198331	
GCA001457715	GCA001457715.1	209161	
GCA001817425	GCA001817425.1	179895	
GCF000733935	GCF000733935.1	226823	
GCF003075045	GCF003075045.1	228688	
GCA003250975	GCA003250975.1	185783	
GCA900317585	GCA900317585.1	173068	
GCF900106015	GCF900106015.1	202234	
GCF000759715	GCF000759715.1	185668	
GCF001412575	GCF001412575.1	186144	
GCA900551955	GCA900551955.1	239713	
GCF007004725	GCF007004725.1	212648	
GCA006742785	GCA006742785.1	239222	
GCF003324525	GCF003324525.1	216041	
GCA002345675	GCA002345675.1	182813	
GCF001017435	GCF001017435.1	214534	
GCF003851005	GCF003851005.1	209985	
GCF003762925	GCF003762925.1	161242	
GCF001014615	GCF001014615.2	229657	
GCF000613185	GCF000613185.1	165720	
GCA000754445	GCA000754445.1	192016	
GCA001004265	GCA001004265.1	236716	
GCF000746095	GCF000746095.1	236284	
GCA003023665	GCA003023665.1	212353	
GCA004143945	GCA004143945.1	201287	
GCF001499995	GCF001499995.1	203610	
GCF000192435	GCF000192435.1	208190	
GCA003158395	GCA003158395.1	155953	
GCA003562335	GCA003562335.1	173512	
GCF002379095	GCF002379095.1	239520	
GCF001552635	GCF001552635.1	213600	
GCA004560305	GCA004560305.1	222241	
GCA900555635	GCA900555635.1	236467	
GCF004345025	GCF004345025.1	199129	
GCF900186505	GCF900186505.1	215613	
GCF900111165	GCF900111165.1	209920	
GCA003671055	GCA003671055.1	178213	
GCA002340265	GCA002340265.1	229887	
GCF900636945	GCF900636945.1	180722	
GCF001294645	GCF001294645.1	158618	
GCF000331225	GCF000331225.1	238163	
GCF000515235	GCF000515235.1	187407	
GCA000995845	GCA000995845.1	146289	
GCA000634735	GCA000634735.1	159861	
GCF000148545	GCF000148545.1	182030	
GCF900163555	GCF900163555.1	230971	
GCA002339085	GCA002339085.1	184316	
GCF000733475	GCF000733475.1	203471	
GCF000185385	GCF000185385.1	184350	
GCA007127655	GCA007127655.1	209668	
GCF003605435	GCF003605435.1	222125	
GCA003694465	GCA003694465.1	236276	
GCF003945385	GCF003945385.1	168715	
GCA002713365	GCA002713365.1	185620	
GCA900546295	GCA900546295.1	195681	
GCA001873995	GCA001873995.1	165452	
GCF001486445	GCF001486445.1	171697	
GCA003250475	GCA003250475.1	196412	
GCA900552945	GCA900552945.1	224242	
GCF001767295	GCF001767295.1	237847	
GCF002140655	GCF002140655.1	192345	
GCF004354045	GCF004354045.1	231933	
GCF000597885	GCF000597885.1	214096	
GCF003937825	GCF003937825.1	239658	
GCA002708345	GCA002708345.1	200624	
GCF002086635	GCF002086635.1	174482	
GCA007129335	GCA007129335.1	217376	
GCA900547915	GCA900547915.1	194555	
GCF002086455	GCF002086455.1	178982	
GCA001785725	GCA001785725.1	205517	
GCA002401635	GCA002401635.1	202141	
GCA007122565	GCA007122565.1	203342	
GCA002453265	GCA002453265.1	226786	
GCF004353055	GCF004353055.1	231413	
GCA003667185	GCA003667185.1	230134	
GCF000368785	GCF000368785.1	157346	
GCF002776555	GCF002776555.1	224550	
GCA002394185	GCA002394185.1	239202	
GCA003451675	GCA003451675.1	222661	
GCA002413345	GCA002413345.1	232986	
GCA002323535	GCA002323535.1	213365	
GCA003545655	GCA003545655.1	232848	
GCA002292325	GCA002292325.1	238074	
GCF003054025	GCF003054025.1	172629	
GCF000252855	GCF000252855.1	133691	
GCF001440035	GCF001440035.1	203867	
GCF004000945	GCF004000945.1	184914	
GCA900317105	GCA900317105.1	225123	
GCF001421885	GCF001421885.1	234454	
GCF002119765	GCF002119765.1	186308	
GCA002167845	GCA002167845.2	209766	
GCA002791835	GCA002791835.1	227793	
GCA002340355	GCA002340355.1	221316	
GCA002408385	GCA002408385.1	236372	
GCF000711715	GCF000711715.1	224877	
GCF000686905	GCF000686905.1	215863	
GCF001006305	GCF001006305.1	232539	
GCA003056165	GCA003056165.1	185780	
GCF000019965	GCF000019965.1	217911	
GCF000785515	GCF000785515.1	129977	
GCA004563195	GCA004563195.1	237666	
GCA001784285	GCA001784285.1	163905	
GCF900106555	GCF900106555.1	167675	
GCA001029635	GCA001029635.1	151262	
GCF900170025	GCF900170025.1	154902	
GCA002862085	GCA002862085.1	238088	
GCF001592365	GCF001592365.1	210890	
GCF003144095	GCF003144095.1	223844	
GCF002975435	GCF002975435.1	214955	
GCA002718585	GCA002718585.1	223632	
GCF002101585	GCF002101585.1	196607	
GCF000620145	GCF000620145.1	213883	
GCF001876955	GCF001876955.1	195060	
GCA900555335	GCA900555335.1	239482	
GCF000621905	GCF000621905.1	222879	
GCF001417955	GCF001417955.2	215096	
GCA003249095	GCA003249095.1	222616	
GCF003364255	GCF003364255.1	192616	
GCA002726005	GCA002726005.1	208559	
GCF000300075	GCF000300075.1	151766	
GCF003987275	GCF003987275.1	239243	
GCF900104415	GCF900104415.1	220877	
GCF002252525	GCF002252525.1	136919	
GCF000283575	GCF000283575.1	227183	
GCF001612555	GCF001612555.1	227609	
GCF002151545	GCF002151545.1	209330	
GCA900100425	GCA900100425.1	177925	
GCF000511355	GCF000511355.1	230239	
GCA900550775	GCA900550775.1	197667	
GCF000379165	GCF000379165.1	158980	
GCF001636845	GCF001636845.1	232551	
GCF000527135	GCF000527135.1	189448	
GCA002354095	GCA002354095.1	187354	
GCF003025035	GCF003025035.1	234948	
GCF900112345	GCF900112345.1	215363	
GCA005882315	GCA005882315.1	223518	
GCA003508605	GCA003508605.1	197137	
GCA007120465	GCA007120465.1	202501	
GCF000311845	GCF000311845.1	160128	
GCF000204645	GCF000204645.1	160669	
GCF900104645	GCF900104645.1	202043	
GCA002773755	GCA002773755.1	225524	
GCF003063665	GCF003063665.1	238828	
GCA001000035	GCA001000035.1	226505	
GCF900115865	GCF900115865.1	193270	
GCF900142695	GCF900142695.1	209484	
GCA001782085	GCA001782085.1	193296	
GCF000706645	GCF000706645.1	151668	
GCA007131725	GCA007131725.1	225289	
GCA002869275	GCA002869275.1	215573	
GCA003210555	GCA003210555.1	237741	
GCA001787475	GCA001787475.1	189731	
GCA002691605	GCA002691605.1	181126	
GCA003136335	GCA003136335.1	199616	
GCF000175855	GCF000175855.1	154321	
GCF000314795	GCF000314795.2	199497	
GCF003574035	GCF003574035.1	197147	
GCA002405875	GCA002405875.1	204259	
GCF002929295	GCF002929295.1	206156	
GCF000332515	GCF000332515.2	198032	
GCA003565815	GCA003565815.1	234347	
GCF004342685	GCF004342685.1	238028	
GCA002784465	GCA002784465.1	172983	
GCF900113125	GCF900113125.1	213559	
GCA900539095	GCA900539095.1	223309	
GCF000024965	GCF000024965.1	212514	
GCF003966975	GCF003966975.1	178320	
GCA003153055	GCA003153055.1	214652	
GCA003449615	GCA003449615.1	206588	
GCF001753645	GCF001753645.1	207973	
GCA002737115	GCA002737115.1	204946	
GCF003797765	GCF003797765.1	214781	
GCA003694175	GCA003694175.1	202292	
GCA002841655	GCA002841655.1	230480	
GCA002424545	GCA002424545.1	216068	
GCF002139875	GCF002139875.1	148890	
GCA900545305	GCA900545305.1	234235	
GCF000019165	GCF000019165.1	236889	
GCA002256775	GCA002256775.1	224726	
GCF900187635	GCF900187635.1	218102	
GCF003688445	GCF003688445.1	220386	
GCF900101525	GCF900101525.1	169785	
GCF000154225	GCF000154225.1	181887	
GCF003323735	GCF003323735.1	223801	
GCF900166665	GCF900166665.1	229748	
GCF000152705	GCF000152705.1	237130	
GCA000999025	GCA000999025.1	159394	
GCA004322395	GCA004322395.1	217518	
GCF004103695	GCF004103695.1	214997	
GCF003030465	GCF003030465.1	227757	
GCA002689455	GCA002689455.1	182729	
GCF004803695	GCF004803695.1	146063	
GCA002238425	GCA002238425.1	203910	
GCF000372825	GCF000372825.1	225340	
GCA003281635	GCA003281635.1	239654	
GCA001189215	GCA001189215.1	208000	
GCF000737785	GCF000737785.1	206933	
GCA900314975	GCA900314975.1	220843	
GCF003208195	GCF003208195.1	177043	
GCF900100945	GCF900100945.1	165935	
GCF003046795	GCF003046795.1	214837	
GCF001941685	GCF001941685.1	206214	
GCF900102185	GCF900102185.1	223297	
GCA002729295	GCA002729295.1	192438	
GCA007132975	GCA007132975.1	175654	
GCF000973085	GCF000973085.1	233552	
GCF900099675	GCF900099675.1	231571	
GCF000526215	GCF000526215.1	224391	
GCF001921825	GCF001921825.1	176249	
GCF000286955	GCF000286955.2	207074	
GCF004123195	GCF004123195.1	216648	
GCF003096035	GCF003096035.1	223138	
GCF001435975	GCF001435975.1	171009	
GCA900545135	GCA900545135.1	196254	
GCF000092285	GCF000092285.1	182909	
GCF004614195	GCF004614195.1	203669	
GCF900046455	GCF900046455.1	238219	
GCF000191725	GCF000191725.1	182726	
GCF002096685	GCF002096685.1	232310	
GCF003721245	GCF003721245.1	195393	
GCF000414175	GCF000414175.1	232459	
GCA002255365	GCA002255365.1	208263	
GCA001698445	GCA001698445.1	180220	
GCA002774465	GCA002774465.1	237453	
GCA003228965	GCA003228965.1	208808	
GCF001436215	GCF001436215.1	145369	
GCA001516125	GCA001516125.1	203740	
GCA004297445	GCA004297445.1	205189	
GCA003550645	GCA003550645.1	213316	
GCA004554425	GCA004554425.1	232094	
GCF000069925	GCF000069925.1	184846	
GCF000739895	GCF000739895.2	155456	
GCF900142705	GCF900142705.1	175323	
GCF000284015	GCF000284015.1	238864	
GCA007116195	GCA007116195.1	208635	
GCF900176205	GCF900176205.1	182521	
GCA003635315	GCA003635315.1	221764	
GCA900540845	GCA900540845.1	217492	
GCF001598815	GCF001598815.1	144252	
GCF000960975	GCF000960975.1	214460	
GCA003445215	GCA003445215.1	232189	
GCF000498355	GCF000498355.1	221733	
GCF003443635	GCF003443635.1	180082	
GCA002291985	GCA002291985.1	210226	
GCF003205615	GCF003205615.1	238201	
GCF005405445	GCF005405445.1	204402	
GCF002356295	GCF002356295.1	223909	
GCA003162635	GCA003162635.1	150656	
GCF000966245	GCF000966245.1	219405	
GCA900554815	GCA900554815.1	220820	
GCA002501285	GCA002501285.1	239886	
GCA900314365	GCA900314365.1	218033	
GCF004214815	GCF004214815.1	152399	
GCA001437855	GCA001437855.1	167447	
GCF900177635	GCF900177635.1	180841	
GCF000482705	GCF000482705.1	208545	
GCA004555265	GCA004555265.1	171980	
GCF003201195	GCF003201195.1	156681	
GCF000383295	GCF000383295.1	186743	
GCF000425325	GCF000425325.1	137908	
GCA002773695	GCA002773695.1	234462	
GCF000026325	GCF000026325.1	81844	
GCF003176975	GCF003176975.1	238251	
GCF000378225	GCF000378225.1	175740	
GCF004854025	GCF004854025.1	225482	
GCF000243735	GCF000243735.2	154610	
GCF001650715	GCF001650715.1	219344	
GCA900542565	GCA900542565.1	239260	
GCA003224145	GCA003224145.1	219470	
GCA002428485	GCA002428485.1	183184	
GCF002127265	GCF002127265.1	227536	
GCF002127965	GCF002127965.1	169332	
GCF900177645	GCF900177645.1	229869	
GCA002863225	GCA002863225.1	208166	
GCF000355695	GCF000355695.1	169553	
GCF000510805	GCF000510805.1	211322	
GCA003213015	GCA003213015.1	197878	
GCF002086835	GCF002086835.1	153033	
GCF002104795	GCF002104795.1	190793	
GCF900107735	GCF900107735.1	221780	
GCA002928965	GCA002928965.1	217125	
GCF001276715	GCF001276715.1	232863	
GCA003212625	GCA003212625.1	205977	
GCA003695455	GCA003695455.1	226889	
GCA000435495	GCA000435495.1	179376	
GCF002159995	GCF002159995.1	193554	
GCF003957705	GCF003957705.1	170778	
GCF002291425	GCF002291425.1	161566	
GCF000762975	GCF000762975.1	176263	
GCA002439165	GCA002439165.1	229351	
GCF001983165	GCF001983165.1	167993	
GCA005877565	GCA005877565.1	209591	
GCA900548215	GCA900548215.1	196325	
GCF001456155	GCF001456155.1	180646	
GCA003557585	GCA003557585.1	225472	
GCA002328565	GCA002328565.1	194464	
GCA003537495	GCA003537495.1	235559	
GCA002255515	GCA002255515.1	213668	
GCF900102315	GCF900102315.1	203920	
GCA002413385	GCA002413385.1	184245	
GCF003544915	GCF003544915.1	172897	
GCF001439735	GCF001439735.1	198133	
GCF001643015	GCF001643015.1	197929	
GCA002384055	GCA002384055.1	166595	
GCA006383075	GCA006383075.1	230449	
GCA005880915	GCA005880915.1	201551	
GCF003391335	GCF003391335.1	199619	
GCA003973385	GCA003973385.1	191777	
GCF003337245	GCF003337245.1	188005	
GCF000701325	GCF000701325.1	221616	
GCF900104115	GCF900104115.1	219779	
GCA003246475	GCA003246475.1	195992	
GCF000160675	GCF000160675.1	162859	
GCF003664315	GCF003664315.1	214674	
GCF004346925	GCF004346925.1	135279	
GCA005889345	GCA005889345.1	207677	
GCF900111495	GCF900111495.1	217117	
GCA002342365	GCA002342365.1	167240	
GCA001787585	GCA001787585.1	176579	
GCA001769505	GCA001769505.1	165676	
GCF000172175	GCF000172175.1	144135	
GCF003612515	GCF003612515.1	216555	
GCF004365175	GCF004365175.1	209924	
GCF003427025	GCF003427025.1	234188	
GCF002742685	GCF002742685.1	192688	
GCA001803395	GCA001803395.1	235920	
GCF000753455	GCF000753455.2	202719	
GCF000316665	GCF000316665.1	229867	
GCF005844425	GCF005844425.1	203608	
GCA003566815	GCA003566815.1	166193	
GCF002966795	GCF002966795.1	194104	
GCF900182585	GCF900182585.1	240057	
GCA003167415	GCA003167415.1	185450	
GCA004758605	GCA004758605.1	171394	
GCF002855595	GCF002855595.1	217138	
GCF001945365	GCF001945365.1	189376	
GCF900156415	GCF900156415.1	186939	
GCF004363175	GCF004363175.1	210723	
GCF002836975	GCF002836975.1	176498	
GCF001648555	GCF001648555.1	227043	
GCF004345785	GCF004345785.1	198943	
GCA900555375	GCA900555375.1	218341	
GCF001921205	GCF001921205.1	218985	
GCF000261345	GCF000261345.2	144701	
GCF000470535	GCF000470535.1	224653	
GCA002421585	GCA002421585.1	238952	
GCA003153915	GCA003153915.1	225645	
GCA001785675	GCA001785675.1	168358	
GCF000799285	GCF000799285.1	222545	
GCA003241685	GCA003241685.1	226829	
GCF004363005	GCF004363005.1	212680	
GCA007119405	GCA007119405.1	183485	
GCA007116585	GCA007116585.1	187449	
GCF000526995	GCF000526995.1	191998	
GCA002404465	GCA002404465.1	215425	
GCF000173915	GCF000173915.1	181118	
GCF003032475	GCF003032475.1	194471	
GCA006969625	GCA006969625.1	228573	
GCA002329245	GCA002329245.1	200755	
GCA002408125	GCA002408125.1	168869	
GCA002721815	GCA002721815.1	173126	
GCF002973605	GCF002973605.1	209476	
GCF900130045	GCF900130045.1	151814	
GCF900111695	GCF900111695.1	201520	
GCA002348425	GCA002348425.1	219317	
GCA001311865	GCA001311865.1	208207	
GCA002725095	GCA002725095.1	190077	
GCA003247345	GCA003247345.1	228196	
GCF900143635	GCF900143635.1	194977	
GCA002305275	GCA002305275.1	238171	
GCF900103885	GCF900103885.1	184928	
GCF003352875	GCF003352875.1	227370	
GCF003182135	GCF003182135.1	211353	
GCA900542425	GCA900542425.1	213301	
GCA001873105	GCA001873105.1	157608	
GCF900115655	GCF900115655.1	173043	
GCF003315175	GCF003315175.1	222036	
GCA004210715	GCA004210715.1	210472	
GCF002901445	GCF002901445.1	210398	
GCF005280275	GCF005280275.1	142779	
GCF902141845	GCF902141845.1	238195	
GCF001715295	GCF001715295.1	225207	
GCA002698995	GCA002698995.1	237309	
GCA002422165	GCA002422165.1	228862	
GCF000013745	GCF000013745.1	210539	
GCA002737585	GCA002737585.1	198503	
GCF003481565	GCF003481565.1	152888	
GCF000184745	GCF000184745.1	233288	
GCF000312045	GCF000312045.1	211652	
GCA002346535	GCA002346535.1	193034	
GCF003967075	GCF003967075.1	189373	
GCA003555145	GCA003555145.1	188414	
GCF900162825	GCF900162825.1	232478	
GCF003664255	GCF003664255.1	205601	
GCA001772985	GCA001772985.1	216517	
GCA002440765	GCA002440765.1	239614	
GCF003149045	GCF003149045.1	181691	
GCA002309855	GCA002309855.1	210371	
GCA900538475	GCA900538475.1	226704	
GCA900321725	GCA900321725.1	152609	
GCF000875895	GCF000875895.1	138709	
GCF000282055	GCF000282055.1	231869	
GCF003855455	GCF003855455.1	193176	
GCA004213885	GCA004213885.1	199093	
GCF900119535	GCF900119535.1	179264	
GCA001821915	GCA001821915.1	201058	
GCF000277795	GCF000277795.1	215488	
GCA003343705	GCA003343705.1	238108	
GCA002841945	GCA002841945.1	224459	
GCF000318135	GCF000318135.1	222573	
GCF003438615	GCF003438615.1	167898	
GCF004340985	GCF004340985.1	227589	
GCF001653195	GCF001653195.1	172070	
GCA001819335	GCA001819335.1	239652	
GCA003241215	GCA003241215.1	211987	
GCF001684335	GCF001684335.1	194335	
GCA005788265	GCA005788265.1	213433	
GCF000722775	GCF000722775.1	189902	
GCA003164955	GCA003164955.1	170502	
GCA001725255	GCA001725255.1	191291	
GCA002690925	GCA002690925.1	208348	
GCF000756665	GCF000756665.1	231380	
GCF000316685	GCF000316685.1	213338	
GCA003139545	GCA003139545.1	215376	
GCA002410505	GCA002410505.1	145605	
GCF001462435	GCF001462435.1	147405	
GCA900554265	GCA900554265.1	215421	
GCA003132445	GCA003132445.1	225619	
GCF003001905	GCF003001905.1	210643	
GCA900322145	GCA900322145.1	208248	
GCA007131925	GCA007131925.1	229124	
GCF003012705	GCF003012705.1	200718	
GCA002299675	GCA002299675.1	233878	
GCA900545205	GCA900545205.1	184265	
GCF002149015	GCF002149015.1	221840	
GCA002715615	GCA002715615.1	220721	
GCA002400445	GCA002400445.1	213404	
GCA004294135	GCA004294135.1	176970	
GCF003046175	GCF003046175.1	207698	
GCF000725385	GCF000725385.1	185591	
GCF000013705	GCF000013705.1	234081	
GCF001403875	GCF001403875.1	219771	
GCF000710915	GCF000710915.1	222172	
GCF900199505	GCF900199505.1	234376	
GCA005885285	GCA005885285.1	187093	
GCA005792635	GCA005792635.1	183305	
GCA001898185	GCA001898185.1	191747	
GCA002393025	GCA002393025.1	205004	
GCF003319105	GCF003319105.1	199342	
GCA007136595	GCA007136595.1	231163	
GCA003542935	GCA003542935.1	230130	
GCA003153215	GCA003153215.1	202607	
GCF900156525	GCF900156525.1	194476	
GCA003526955	GCA003526955.1	162677	
GCF003719335	GCF003719335.1	214880	
GCF001442785	GCF001442785.1	168578	
GCA001785445	GCA001785445.1	143778	
GCA002729195	GCA002729195.1	172141	
GCA002729015	GCA002729015.1	202976	
GCF001742165	GCF001742165.1	178062	
GCA004555145	GCA004555145.1	198448	
GCF001005315	GCF001005315.1	211587	
GCF001423525	GCF001423525.1	221047	
GCA002862805	GCA002862805.1	216391	
GCF005280195	GCF005280195.1	203871	
GCF002276165	GCF002276165.1	214803	
GCA003209415	GCA003209415.1	235941	
GCF000016425	GCF000016425.1	147462	
GCA003132165	GCA003132165.1	180964	
GCF004145795	GCF004145795.1	208202	
GCF004217145	GCF004217145.1	217494	
GCF001029445	GCF001029445.1	239937	
GCF900091435	GCF900091435.1	212251	
GCF001421785	GCF001421785.1	220484	
GCA003228125	GCA003228125.1	206832	
GCF001884105	GCF001884105.1	161176	
GCF002973525	GCF002973525.1	239765	
GCA007122555	GCA007122555.1	195154	
GCA004796375	GCA004796375.1	232344	
GCF900638585	GCF900638585.1	206887	
GCF002706425	GCF002706425.1	150486	
GCF900116495	GCF900116495.1	208900	
GCF000577555	GCF000577555.1	199560	
GCA003161615	GCA003161615.1	205523	
GCF000807675	GCF000807675.2	170854	
GCF001880325	GCF001880325.1	235547	
GCA003215635	GCA003215635.1	213547	
GCF005952805	GCF005952805.1	195571	
GCA003140915	GCA003140915.1	214925	
GCA900550295	GCA900550295.1	197051	
GCF005930355	GCF005930355.1	230348	
GCF005153485	GCF005153485.1	209708	
GCF003480165	GCF003480165.1	176006	
GCA003247225	GCA003247225.1	204604	
GCF003217735	GCF003217735.1	172100	
GCA002382125	GCA002382125.1	219426	
GCF001956895	GCF001956895.1	230090	
GCA002337085	GCA002337085.1	187837	
GCA002399265	GCA002399265.1	141466	
GCA901212675	GCA901212675.1	202441	
GCF001995175	GCF001995175.1	218393	
GCA002009475	GCA002009475.1	218922	
GCF001425055	GCF001425055.1	231714	
GCA002774425	GCA002774425.1	153221	
GCA900322135	GCA900322135.1	226675	
GCA900552995	GCA900552995.1	217438	
GCA002310055	GCA002310055.1	220208	
GCA002373205	GCA002373205.1	165445	
GCF002159185	GCF002159185.1	206542	
GCF003254475	GCF003254475.1	228400	
GCA900547275	GCA900547275.1	215325	
GCF002287375	GCF002287375.1	177860	
GCA900541885	GCA900541885.1	194456	
GCF001611975	GCF001611975.1	227989	
GCA001824745	GCA001824745.1	193504	
GCA002471255	GCA002471255.1	237689	
GCF003350925	GCF003350925.1	226115	
GCA002313585	GCA002313585.1	143862	
GCF003815655	GCF003815655.1	230833	
GCF900129555	GCF900129555.1	231659	
GCA004556245	GCA004556245.1	224788	
GCF900111755	GCF900111755.1	227084	
GCA003164155	GCA003164155.1	197165	
GCF000005825	GCF000005825.2	184009	
GCF004022485	GCF004022485.1	194776	
GCA002440555	GCA002440555.1	233113	
GCF002160765	GCF002160765.1	229284	
GCF001235865	GCF001235865.1	141038	
GCF003814935	GCF003814935.1	223099	
GCF003633575	GCF003633575.1	233805	
GCA900539805	GCA900539805.1	214382	
GCA900543805	GCA900543805.1	239821	
GCA002410345	GCA002410345.1	142204	
GCF003053605	GCF003053605.1	162326	
GCF002290085	GCF002290085.1	187850	
GCA003522085	GCA003522085.1	185792	
GCA007127335	GCA007127335.1	163797	
GCA003534085	GCA003534085.1	228658	
GCA005879655	GCA005879655.1	232701	
GCA001768325	GCA001768325.1	154583	
GCA003151665	GCA003151665.1	208740	
GCA002683015	GCA002683015.1	198194	
GCF001466965	GCF001466965.1	172842	
GCA003331065	GCA003331065.1	217181	
GCF004362405	GCF004362405.1	217761	
GCF004535785	GCF004535785.1	207103	
GCF000092865	GCF000092865.1	217263	
GCA002433465	GCA002433465.1	212604	
GCA002298965	GCA002298965.1	198849	
GCA002298165	GCA002298165.1	212589	
GCA900554355	GCA900554355.1	209939	
GCA004556155	GCA004556155.1	162619	
GCA002408105	GCA002408105.1	180286	
GCF001180025	GCF001180025.1	212638	
GCF001758345	GCF001758345.1	180169	
GCA003139095	GCA003139095.1	154549	
GCF900573985	GCF900573985.1	216072	
GCF001277345	GCF001277345.1	190155	
GCF004000885	GCF004000885.1	155854	
GCF002743055	GCF002743055.1	217596	
GCA003542655	GCA003542655.1	212974	
GCA004332195	GCA004332195.1	204601	
GCF001427305	GCF001427305.1	218058	
GCA002239005	GCA002239005.1	225711	
GCF000620945	GCF000620945.1	199141	
GCA003153335	GCA003153335.1	239881	
GCA900554945	GCA900554945.1	219900	
GCA002710785	GCA002710785.1	181747	
GCF001553215	GCF001553215.1	164396	
GCF002931555	GCF002931555.1	237946	
GCF900048035	GCF900048035.1	219097	
GCF001476815	GCF001476815.1	201392	
GCA002347265	GCA002347265.1	187481	
GCA003166025	GCA003166025.1	168619	
GCF002148965	GCF002148965.1	223401	
GCF004322705	GCF004322705.1	204597	
GCF003443655	GCF003443655.1	239560	
GCA003519965	GCA003519965.1	215494	
GCA003219995	GCA003219995.1	228764	
GCF004151245	GCF004151245.1	203085	
GCA003519685	GCA003519685.1	232034	
GCF900105755	GCF900105755.1	209183	
GCF000504085	GCF000504085.1	156636	
GCA005116955	GCA005116955.1	198922	
GCF001469165	GCF001469165.1	217072	
GCA004213235	GCA004213235.1	222284	
GCA002401525	GCA002401525.1	201702	
GCF000764645	GCF000764645.1	210715	
GCF003097135	GCF003097135.1	164760	
GCF001679925	GCF001679925.1	215577	
GCF002211445	GCF002211445.1	205025	
GCA002333205	GCA002333205.1	233801	
GCA007116535	GCA007116535.1	238135	
GCF001885235	GCF001885235.1	168976	
GCA003535955	GCA003535955.1	229537	
GCA900313765	GCA900313765.1	226001	
GCF001722135	GCF001722135.1	190021	
GCF000195595	GCF000195595.1	230421	
GCF001641635	GCF001641635.1	203381	
GCF900114065	GCF900114065.1	135978	
GCF900454495	GCF900454495.1	160290	
GCA002396205	GCA002396205.1	220145	
GCF003752155	GCF003752155.1	207170	
GCF000170895	GCF000170895.1	205660	
GCF003259415	GCF003259415.1	235807	
GCA900316435	GCA900316435.1	210460	
GCF000190555	GCF000190555.1	198043	
GCF900489485	GCF900489485.1	226015	
GCA900321635	GCA900321635.1	219285	
GCA900548875	GCA900548875.1	231258	
GCF003337425	GCF003337425.1	208909	
GCF000961885	GCF000961885.1	234876	
GCF006539765	GCF006539765.1	159784	
GCA002793115	GCA002793115.1	157486	
GCA900552365	GCA900552365.1	216046	
GCF000165465	GCF000165465.1	235167	
GCF003065405	GCF003065405.1	183791	
GCF002272795	GCF002272795.1	226312	
GCF000968015	GCF000968015.1	188393	
GCA001508005	GCA001508005.1	185940	
GCF001667015	GCF001667015.1	224086	
GCF000745175	GCF000745175.1	202848	
GCA001821055	GCA001821055.1	157729	
GCA003448535	GCA003448535.1	221564	
GCF000010325	GCF000010325.1	234389	
GCF001422205	GCF001422205.1	216587	
GCF003097655	GCF003097655.1	234854	
GCF000422665	GCF000422665.1	198749	
GCF001499735	GCF001499735.1	200967	
GCF001439985	GCF001439985.1	238322	
GCA007132315	GCA007132315.1	208855	
GCF003428875	GCF003428875.1	173102	
GCA007280315	GCA007280315.1	228567	
GCA003635255	GCA003635255.1	228324	
GCA900316205	GCA900316205.1	237315	
GCF000169535	GCF000169535.1	142027	
GCF001637315	GCF001637315.1	184370	
GCF001729805	GCF001729805.1	121964	
GCF900167135	GCF900167135.1	232168	
GCA005083565	GCA005083565.1	213687	
GCF003047295	GCF003047295.1	216527	
GCA002898995	GCA002898995.1	215778	
GCF004138105	GCF004138105.1	221295	
GCF002015045	GCF002015045.1	163853	
GCF002831585	GCF002831585.1	161026	
GCA002455975	GCA002455975.1	226647	
GCA000632805	GCA000632805.1	237607	
