accession	accession.version	taxid	gi
GCA002421885	GCA002421885.1	232560	
GCA003222085	GCA003222085.1	164025	
GCF004331285	GCF004331285.1	220396	
GCF000799245	GCF000799245.1	176308	
GCF000364425	GCF000364425.1	182879	
GCF001184025	GCF001184025.1	187232	
GCA003517675	GCA003517675.1	235087	
GCF001424125	GCF001424125.1	216811	
GCF003336745	GCF003336745.1	240086	
GCA002305675	GCA002305675.1	221641	
GCF000518225	GCF000518225.1	170396	
GCA002712125	GCA002712125.1	207943	
GCF900466605	GCF900466605.1	204232	
GCF001281045	GCF001281045.1	229126	
GCF000177635	GCF000177635.2	197318	
GCF003049725	GCF003049725.1	215389	
GCA000436035	GCA000436035.1	181526	
GCF004792655	GCF004792655.1	207455	
GCF900102745	GCF900102745.1	236081	
GCF900107485	GCF900107485.1	228611	
GCF003955735	GCF003955735.1	203667	
GCF001905725	GCF001905725.1	217063	
GCA002424475	GCA002424475.1	206775	
GCF006439025	GCF006439025.1	223305	
GCA002412935	GCA002412935.1	212014	
GCA002372665	GCA002372665.1	191176	
GCF000224515	GCF000224515.1	213393	
GCF003217355	GCF003217355.1	232715	
GCA001751015	GCA001751015.1	179870	
GCA001767945	GCA001767945.1	214706	
GCA002437725	GCA002437725.1	145331	
GCF005860795	GCF005860795.1	199881	
GCA006969745	GCA006969745.1	231147	
GCA900163615	GCA900163615.1	209289	
GCF000196735	GCF000196735.1	141640	
GCA005791855	GCA005791855.1	214987	
GCF001423125	GCF001423125.1	236766	
GCF001696615	GCF001696615.3	234089	
GCF900100295	GCF900100295.1	217573	
GCA002686995	GCA002686995.1	225586	
GCA002419125	GCA002419125.1	214415	
GCF001717505	GCF001717505.1	171786	
GCF000803625	GCF000803625.1	179865	
GCA003139975	GCA003139975.1	220059	
GCA002411015	GCA002411015.1	184257	
GCA900545125	GCA900545125.1	219397	
GCA001189165	GCA001189165.1	186072	
GCA001512995	GCA001512995.1	171941	
GCF002155685	GCF002155685.1	219314	
GCF001548475	GCF001548475.1	141111	
GCA900555395	GCA900555395.1	229827	
GCA002690705	GCA002690705.1	174053	
GCF000423925	GCF000423925.1	203285	
GCF000429525	GCF000429525.1	220803	
GCA900079695	GCA900079695.1	227108	
GCF000955785	GCF000955785.1	188277	
GCF002798115	GCF002798115.1	228146	
GCA002840845	GCA002840845.1	235779	
GCA900546885	GCA900546885.1	194506	
GCA005798855	GCA005798855.1	175642	
GCA002396605	GCA002396605.1	163289	
GCF001435835	GCF001435835.1	212863	
GCA900555755	GCA900555755.1	236867	
GCF000328305	GCF000328305.2	200403	
GCA001983475	GCA001983475.1	217410	
GCA900321265	GCA900321265.1	186864	
GCA004557075	GCA004557075.1	201549	
GCF002811955	GCF002811955.1	224486	
GCF003075455	GCF003075455.1	173601	
GCF900110855	GCF900110855.1	217531	
GCA002727755	GCA002727755.1	172739	
GCF003339775	GCF003339775.1	170268	
GCF900573885	GCF900573885.1	177830	
GCA001783465	GCA001783465.1	164766	
GCF000283635	GCF000283635.1	152723	
GCA003169845	GCA003169845.1	188230	
GCA002438575	GCA002438575.1	186875	
GCA002839125	GCA002839125.1	196526	
GCA003224835	GCA003224835.1	203409	
GCF000299315	GCF000299315.2	183888	
GCF003367475	GCF003367475.1	236150	
GCF002848345	GCF002848345.1	220645	
GCF003946605	GCF003946605.1	195152	
GCF001570865	GCF001570865.1	146664	
GCA900066845	GCA900066845.1	235711	
GCF900105415	GCF900105415.1	192511	
GCA002343805	GCA002343805.1	228014	
GCA004322085	GCA004322085.1	216411	
GCF002088015	GCF002088015.1	122901	
GCA001791115	GCA001791115.1	182413	
GCF000973625	GCF000973625.1	201749	
GCA003281625	GCA003281625.1	229597	
GCF001561915	GCF001561915.1	177777	
GCA007136525	GCA007136525.1	221672	
GCA003533545	GCA003533545.1	234430	
GCA003211555	GCA003211555.1	189742	
GCF006376615	GCF006376615.1	233548	
GCF004340975	GCF004340975.1	160735	
GCA900545315	GCA900545315.1	223275	
GCF000505545	GCF000505545.1	209028	
GCF000426225	GCF000426225.1	223895	
GCF000521805	GCF000521805.1	197205	
GCF002077945	GCF002077945.1	228441	
GCF001190745	GCF001190745.1	173336	
GCF004762035	GCF004762035.1	207667	
GCA002779995	GCA002779995.1	146586	
GCA901212495	GCA901212495.1	171266	
GCA900321735	GCA900321735.1	238159	
GCF900163835	GCF900163835.1	180887	
GCA007130345	GCA007130345.1	173406	
GCF000263275	GCF000263275.1	148284	
GCF006382035	GCF006382035.1	235841	
GCA003521815	GCA003521815.1	207249	
GCF900047545	GCF900047545.1	195182	
GCA003644395	GCA003644395.1	225076	
GCF900103005	GCF900103005.1	209145	
GCF002262935	GCF002262935.1	206584	
GCF004328625	GCF004328625.1	175573	
GCA004213605	GCA004213605.1	223261	
GCF000518745	GCF000518745.1	209342	
GCA900551015	GCA900551015.1	197472	
GCF000255495	GCF000255495.1	171874	
GCF000993825	GCF000993825.1	192788	
GCF001595725	GCF001595725.1	145741	
GCA002879535	GCA002879535.2	204983	
GCF000757845	GCF000757845.1	211641	
GCA003339605	GCA003339605.1	220336	
GCF004001325	GCF004001325.1	219132	
GCA003161535	GCA003161535.1	232646	
GCF900176865	GCF900176865.1	210783	
GCF002563895	GCF002563895.1	143792	
GCA001303665	GCA001303665.1	195352	
GCA002869095	GCA002869095.1	205247	
GCA004292675	GCA004292675.1	210407	
GCA900549775	GCA900549775.1	227158	
GCF002163855	GCF002163855.1	189253	
GCF001905005	GCF001905005.1	234998	
GCA900547295	GCA900547295.1	211476	
GCF003671955	GCF003671955.1	126793	
GCF004216535	GCF004216535.1	204257	
GCA002862205	GCA002862205.1	229508	
GCF002934065	GCF002934065.1	139619	
GCF000805455	GCF000805455.1	224935	
GCF001984215	GCF001984215.1	239933	
GCA002238665	GCA002238665.1	203978	
GCF900107845	GCF900107845.1	198708	
GCF003391055	GCF003391055.1	193161	
GCA002369175	GCA002369175.1	197980	
GCA900315105	GCA900315105.1	239684	
GCF000384375	GCF000384375.1	184692	
GCA003696665	GCA003696665.1	206703	
GCF001059565	GCF001059565.1	166587	
GCA001656295	GCA001656295.1	162230	
GCA002305075	GCA002305075.1	231462	
GCA003249645	GCA003249645.1	237051	
GCA002292345	GCA002292345.1	151341	
GCF001612745	GCF001612745.1	194407	
GCA002336975	GCA002336975.1	216758	
GCA002238805	GCA002238805.1	219358	
GCA002438075	GCA002438075.1	184270	
GCA002683115	GCA002683115.1	226805	
GCA003174035	GCA003174035.1	219983	
GCF002914195	GCF002914195.1	181902	
GCF001425605	GCF001425605.1	150952	
GCA002280875	GCA002280875.1	192434	
GCF001189035	GCF001189035.1	176830	
GCF003651225	GCF003651225.1	223327	
GCF003122215	GCF003122215.1	232874	
GCA001483205	GCA001483205.1	238070	
GCA003231925	GCA003231925.1	221922	
GCF001303895	GCF001303895.1	236510	
GCF001643235	GCF001643235.1	167348	
GCF002236115	GCF002236115.1	159049	
GCA003641405	GCA003641405.1	232306	
GCA002374095	GCA002374095.1	219458	
GCF001424145	GCF001424145.1	235721	
GCF004375085	GCF004375085.1	197203	
GCA001784555	GCA001784555.1	221961	
GCF001648155	GCF001648155.1	214276	
GCA002427805	GCA002427805.1	219304	
GCF900109495	GCF900109495.1	239250	
GCA002898255	GCA002898255.1	236720	
GCF003664165	GCF003664165.1	206765	
GCA001916965	GCA001916965.1	161740	
GCA003532555	GCA003532555.1	199565	
GCA002714015	GCA002714015.1	227319	
GCA002862135	GCA002862135.1	202860	
GCA900551275	GCA900551275.1	228381	
GCF001434665	GCF001434665.1	216039	
GCF001025195	GCF001025195.1	162898	
GCF004801255	GCF004801255.1	218538	
GCA003134755	GCA003134755.1	207960	
GCA001820175	GCA001820175.1	206638	
GCF000484535	GCF000484535.1	215783	
GCF000374625	GCF000374625.1	195642	
GCA003644275	GCA003644275.1	235601	
GCF002813375	GCF002813375.1	171000	
GCF000565215	GCF000565215.1	202549	
GCA900066355	GCA900066355.1	200428	
GCF003846175	GCF003846175.1	234516	
GCF002930195	GCF002930195.1	226999	
GCA900321055	GCA900321055.1	213500	
GCF004345725	GCF004345725.1	193927	
GCA002358415	GCA002358415.1	169161	
GCF900078665	GCF900078665.2	203292	
GCA002720975	GCA002720975.1	179113	
GCA001028815	GCA001028815.1	207819	
GCF001045455	GCF001045455.1	232526	
GCA900546455	GCA900546455.1	232071	
GCF004359615	GCF004359615.1	227967	
GCF004006535	GCF004006535.1	202985	
GCF900172255	GCF900172255.1	191810	
GCF002902325	GCF002902325.1	124612	
GCA003141195	GCA003141195.1	163160	
GCF000421345	GCF000421345.1	211753	
GCF000333895	GCF000333895.2	181070	
GCF000018685	GCF000018685.1	210756	
GCA001798165	GCA001798165.1	165066	
GCA003489165	GCA003489165.1	180661	
GCA900466005	GCA900466005.1	169557	
GCA900548125	GCA900548125.1	211294	
GCF003259695	GCF003259695.1	222193	
GCA001683905	GCA001683905.1	234229	
GCA003645495	GCA003645495.1	226032	
GCA002343825	GCA002343825.1	222950	
GCF002849695	GCF002849695.1	138695	
GCA003229305	GCA003229305.1	197125	
GCA900557675	GCA900557675.1	233682	
GCF006007965	GCF006007965.1	191485	
GCF900110835	GCF900110835.1	211704	
