"","species","K00363","K00370","K00371","K00376","K02567","K02568","K03385","K04561","K02305","K02586","K02588","K02591","K00198","K00297","K01491","K01938","GH105","GH106","GH28","GH78","GH88","GH108","GH24","GH11","GH115","GH30","GH120","GH67","GH15","GH31","GH57","GH16","GH19","GH20","GH1","GH116","GH74","GH44","GH45","GH5","GH65","PF01058.22","PF14720.6","PF02256.17","PF02906.14"
"301_20-AUS_91-Kalotermitidae-Kalotermitidae_sp_C","301_20-AUS_91-Kalotermitidae-Kalotermitidae_sp_C",NA,NA,NA,NA,NA,NA,0.378452872882636,NA,NA,2.6515183521639,3.47986937210274,2.29870489686224,1.59818898830331,3.08707167695659,1.79585857427048,1.74758455955569,2.44219511011257,3.22705059084909,2.44263626091826,2.66306817887104,2.62728756353815,NA,0.716287287959698,NA,1.42359807853988,1.03018810765534,NA,1.07148025822072,NA,2.18530266382338,3.14896460221232,2.5918480106815,NA,1.9647797226321,2.49502901001068,1.78752464533583,NA,NA,NA,0.157915948141483,0.0402562244140565,2.93385787964337,0.295826018798378,3.05703698877883,3.51584225380915
"301_49-G678_2-Kalotermitidae-Rugitermes_sp_A","301_49-G678_2-Kalotermitidae-Rugitermes_sp_A",0.264458733005666,0.159944072224651,NA,NA,NA,NA,NA,NA,NA,1.39391975519679,2.41196612467524,1.53955431081341,1.1428177336279,2.7584219489362,1.04780887538929,0.884416992384579,1.28858530499288,2.55097722129683,1.75819809034119,2.74743129221447,1.46002136823201,1.14196121197277,2.09000910141206,NA,NA,0.748999186046906,NA,NA,NA,1.73750795412737,1.52926981674806,1.49625282510809,0.967632265643293,1.54377990745463,1.7996308614214,1.62140653100111,NA,NA,NA,0.937194643754409,1.0852797972258,2.0341181627479,NA,2.14321233786545,2.41910874007055
"272_06-AUS110-Kalotermitidae-Cryptotermes_primus","272_06-AUS110-Kalotermitidae-Cryptotermes_primus",NA,NA,NA,NA,NA,NA,0.406690563575324,NA,NA,2.81120126820533,3.18162953831226,2.63084846835003,0.65543938825683,2.99864310889672,2.64003252575484,0.845690532018332,2.65273674772929,4.21545424930272,2.9417210667979,4.07862778185644,0.100202713340747,2.60808017566935,0.799911866391783,NA,0.757654615198557,0.647317445429596,2.22620270239502,NA,NA,2.5161296517523,2.67471485571954,2.55656230036826,NA,2.14065468492467,2.26186670447418,2.9092033776416,NA,NA,NA,NA,NA,NA,NA,1.8101745056835,2.78470723370093
"272_08-AUS117-Kalotermitidae-Cryptotermes_primus","272_08-AUS117-Kalotermitidae-Cryptotermes_primus",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75300857837479,3.37475332688289,2.58665031810915,0.69156646606925,3.21182971438107,2.21695871748257,2.20126050911389,1.69086314876117,3.27890085989734,2.34534078790378,2.98572206191389,0.810638815118877,0.892155583513595,NA,NA,0.615564698604439,0.823454602621651,1.7421884381759,0.404719071213276,NA,1.67618299488328,2.97169503294489,2.66052887387089,NA,1.92047103594989,2.1889133962118,2.44981900120911,NA,NA,NA,NA,NA,1.35872199721999,0.657433690724337,1.47243431093979,2.48576068767356
"272_71-MAL39-Kalotermitidae-Cryptotermes","272_71-MAL39-Kalotermitidae-Cryptotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88958393966328,2.50935049285974,2.64687594641879,1.88827758597342,3.71206645276541,3.25372387907966,2.35507983502108,3.53048080944102,3.143047000527,2.10748844512986,3.66955747795387,2.64640687431721,2.63949345861195,0.457594619717831,NA,0.749896364935547,0.872754890834594,2.82944165147241,2.08184278016614,NA,3.00831159892401,3.44678829937955,3.53186233660447,0.305195003549142,2.738751322509,3.57778172566179,2.40851571886167,NA,NA,NA,1.61597490555603,2.22379391430457,2.98925590316303,0.214872651856365,3.02146797311209,3.92206965105523
"272_07-AUS111-Kalotermitidae-Kalotermitidae_sp_F","272_07-AUS111-Kalotermitidae-Kalotermitidae_sp_F",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038339968841,2.786543109524,1.02019394333354,0.582420147103364,3.2931680611018,2.10812608335389,0.977185177515714,2.87169458945413,1.95659018572978,2.84612157804911,2.49121416984937,1.48940399651341,2.01826098143245,2.07505221314484,NA,1.75552461159195,0.983688393337953,NA,1.28840057607313,NA,2.08847140303915,2.1197355571991,1.89825997688784,2.11289086743994,1.65843038092813,1.07455339720953,1.52076483165968,NA,NA,NA,NA,1.73367539785156,3.00874606766547,0.847376521137258,2.05433958203053,2.94391884284859
"272_105-US10-Kalotermitidae-Incisitermes_snyderi","272_105-US10-Kalotermitidae-Incisitermes_snyderi",NA,NA,NA,NA,0.263181622072702,0.12495552510055,1.19047095195075,NA,NA,0.201221967980187,2.25917439883539,1.13393965833788,0.972263943897733,2.10756524837099,0.595063597993589,0.924140343946604,1.89091199495393,1.88410306755817,1.56144232151232,2.16720605204586,0.892401666268212,NA,NA,NA,0.206746838006935,1.25838571869509,NA,NA,0.132204561465261,1.53784809645649,1.05730586022528,1.87362058932962,NA,1.17182803504438,0.487245402857807,0.64957058880647,NA,NA,NA,NA,0.194928485745488,1.985757391143,0.93245246110407,0.916834666025759,1.86848607507752
"272_49-KE15_30-Kalotermitidae-Bifiditermes_mutubae","272_49-KE15_30-Kalotermitidae-Bifiditermes_mutubae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24461384343054,2.77676618628355,NA,2.62159872494886,NA,NA,1.8562450444933,2.9980799952626,1.22835230482015,2.09156089304904,2.10794916347699,0.941853297063117,NA,NA,NA,NA,NA,1.36392061467886,NA,NA,NA,1.24487765462106,NA,2.23480037703126,NA,1.31556386380089,NA,NA,NA,NA,NA,2.69474652982881,2.31750449210605,1.83755358497301,3.1049475720875
"272_51-M16-Kalotermitidae-Tauritermes","272_51-M16-Kalotermitidae-Tauritermes",NA,NA,NA,1.99165938852972,NA,NA,NA,NA,NA,3.33444608286261,3.46820256001826,2.89851982596504,2.86518682984522,3.86715532346647,3.12553947103236,3.21941909598908,0.631500702106235,2.82855611631695,1.75029652407757,1.56532927441413,0.881318018615342,1.63667297924242,2.04684695196449,NA,NA,0.0166632095383379,NA,0.776754115379843,NA,1.3094854130664,4.09660364122099,3.39622609132516,1.30072989337492,2.43698590885926,3.59588860702392,1.35400213751978,NA,NA,NA,NA,0.246309731736664,3.21957152158789,2.3816832575386,3.59934268416175,4.16517334039572
"301_19-AUS89-Kalotermitidae-Kalotermitidae_sp_A","301_19-AUS89-Kalotermitidae-Kalotermitidae_sp_A",NA,NA,NA,0.0195491716922791,NA,NA,NA,NA,NA,2.41790734579566,3.56895350541816,2.02740862956281,1.78528324205179,2.93985527632393,2.48578206720904,1.86154951900604,2.62656937035933,3.19332849281282,1.94390388232116,3.3682607864802,1.92524047816958,0.541823276285238,0.201060145982693,NA,1.25341110721371,1.30581460364615,0.899389852725953,1.58611049122053,NA,2.77556934890309,3.01807265549207,2.33316492326292,0.615270706300691,2.25772624082823,2.58693949227988,1.7191372925171,NA,NA,NA,NA,1.22620468670562,NA,NA,NA,NA
"229_05-MD_RNA_1-Mastotermitidae-Mastotermesdarwiniensis","229_05-MD_RNA_1-Mastotermitidae-Mastotermesdarwiniensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68929655669423,2.69706447382315,1.3007891254964,0.889929804090844,2.68270387442239,2.51899466600981,2.05275781324602,1.70610384490735,3.01031806341914,1.69358948372748,2.87631873621319,1.40039088886651,NA,NA,NA,0.208581381264108,0.254069945024535,0.296911807511539,0.0809238007796175,NA,1.48197929028693,1.48069753599542,1.53692533839449,NA,2.12723897827006,1.47876011578655,1.44777617206792,NA,NA,NA,0.232097178261273,0.188981620328018,1.06930261426465,NA,1.25627770771116,1.75131021995014
"229_08-Cryp-Cryptocercidae-Cryptocercus_punctulatus","229_08-Cryp-Cryptocercidae-Cryptocercus_punctulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79681934987127,2.40992122337038,2.30550846131846,0.465042639354362,2.86192990098355,1.40859475589926,0.77322450699599,1.45519482547189,2.05561739148882,1.81962267732507,2.72392978520872,1.45761550416049,0.833533096524803,NA,NA,1.43931764501193,2.00622673485885,NA,0.628723361926557,0.201465642520898,1.6056858856705,2.20798889331892,2.11287432961364,NA,1.76983007073109,1.31639279076984,1.14318266270084,NA,NA,NA,0.0762037603353213,0.232190218322421,1.27898732173006,1.21098277129468,1.26338050883813,1.86489555685214
